word,length,freq,log_freq,concreteness,pos
criteria,8,11055,9.311,2.5,NN
joy,3,11703,9.368,2.37,NN
priority,8,11719,9.369,1.76,NN
wisdom,6,12554,9.438,1.53,NN
blues,5,12589,9.441,2.31,NN
identity,8,12593,9.441,2,NN
horror,6,12795,9.457,2.5,NN
intent,6,13020,9.474,1.52,NN
crisis,6,13610,9.519,2.33,NN
privacy,7,13645,9.521,1.5,NN
exposure,8,13747,9.529,2.39,NN
extent,6,14969,9.614,1.44,NN
duty,4,14997,9.616,2.19,NN
era,3,15136,9.625,2.24,NN
aspect,6,15514,9.649,1.82,NN
vice,4,15887,9.673,2.46,NN
motif,5,15926,9.676,2.45,NN
quantum,7,16245,9.696,1.9,NN
heaven,6,16257,9.696,1.81,NN
feedback,8,16363,9.703,2.48,NN
reaction,8,16706,9.724,2.41,NN
supreme,7,16923,9.736,2,NN
conflict,8,16956,9.738,2.21,NN
liberty,7,17135,9.749,1.85,NN
origin,6,17202,9.753,2.03,NN
latter,6,17819,9.788,2.17,NN
fiction,7,19200,9.863,2.14,NN
strategy,8,19202,9.863,1.93,NN
excuse,6,19298,9.868,2.29,NN
belief,6,19406,9.873,1.19,NN
progress,8,20169,9.912,2.12,NN
Monday,6,20612,9.934,2.25,NN
attitude,8,20636,9.935,1.97,NN
fantasy,7,21100,9.957,1.59,NN
protocol,8,21507,9.976,1.97,NN
manner,6,22183,10.007,1.62,NN
creation,8,22642,10.028,2.15,NN
plenty,6,22730,10.031,2.39,NN
safety,6,23660,10.072,2.37,NN
failure,7,23998,10.086,2.08,NN
Max,3,24879,10.122,2.18,NN
context,7,24912,10.123,2.17,NN
instance,8,26887,10.199,1.97,NN
compiler,8,29044,10.277,2.46,NN
faith,5,29740,10.3,1.63,NN
behavior,8,29913,10.306,2.19,NN
loss,4,30002,10.309,2.19,NN
variety,7,30727,10.333,2.13,NN
concept,7,30857,10.337,1.41,NN
justice,7,31679,10.363,1.45,NN
defense,7,31710,10.364,2.45,NN
soul,4,32352,10.384,1.86,NN
nobody,6,32857,10.4,2.32,NN
role,4,32941,10.402,2.19,NN
logic,5,34025,10.435,1.72,NN
decision,8,36601,10.508,2.19,NN
success,7,37069,10.521,2.21,NN
effort,6,37651,10.536,2.33,NN
culture,7,38335,10.554,2.04,NN
peace,5,40408,10.607,1.62,NN
spirit,6,40804,10.617,1.6,NN
religion,8,40955,10.62,1.71,NN
reality,7,42961,10.668,1.72,NN
moment,6,43625,10.683,1.61,NN
status,6,44083,10.694,2.24,NN
freedom,7,44824,10.71,2.34,NN
purpose,7,47091,10.76,1.52,NN
basis,5,48314,10.785,1.83,NN
theory,6,48737,10.794,1.47,NN
method,6,49828,10.816,2.41,NN
truth,5,52771,10.874,1.96,NN
ways,4,54302,10.902,2,NN
ability,7,56922,10.949,1.81,NN
luck,4,60629,11.013,1.33,NN
health,6,60950,11.018,2.28,NN
February,8,60969,11.018,2.4,NN
choice,6,65532,11.09,1.9,NN
mode,4,65878,11.096,2.46,NN
opinion,7,68760,11.138,1.93,NN
language,8,97874,11.491,2.35,NN
memory,6,114930,11.652,2.38,NN
kind,4,131849,11.789,2.07,NN
info,4,159678,11.981,2.39,NN
nothing,7,160745,11.988,2.21,NN
anything,8,214704,12.277,1.38,NN
version,7,224831,12.323,1.7,NN
way,3,490087,13.102,2.34,NN
