word,concreteness,word_type,word_number
aspect,1.82,abstract,1
NOBODY,2.32,abstract,2
freedom,2.34,abstract,3
NOTHING,2.21,abstract,4
attitude,1.97,abstract,5
FANTASY,1.59,abstract,6
reality,1.72,abstract,7
LANGUAGE,2.35,abstract,8
method,2.41,abstract,9
MOMENT,1.61,abstract,10
orange,4.66,concrete,11
TAG,4.25,concrete,12
captain,4.19,concrete,13
FILM,4.71,concrete,14
author,4.26,concrete,15
WATCH,4.61,concrete,16
hotel,4.93,concrete,17
HUMAN,4.93,concrete,18
shadow,4.54,concrete,19
POP,4.22,concrete,20
