word,length,freq,log_freq,concreteness,pos
boss,4,"10,002",9.211,3.83,NN|VB
slide,5,"10,004",9.211,4.48,NN|VB
museum,6,"10,047",9.215,4.6,NN
pan,3,"10,047",9.215,4.86,NN|VB
narrow,6,"10,049",9.215,3.04,JJ|VB
inn,3,"10,053",9.216,4.64,NN
wage,4,"10,055",9.216,3.79,NN|VB
dump,4,"10,072",9.218,3.93,VB|NN
sand,4,"10,083",9.219,5,NN|VB
capture,7,"10,098",9.22,3.21,NN|VB
rubber,6,"10,099",9.22,4.86,NN
junior,6,"10,114",9.222,3.5,JJ|NN
pants,5,"10,126",9.223,4.86,NN
rough,5,"10,148",9.225,3.83,JJ|RB|VB
dying,5,"10,151",9.225,3.16,VB|NN
breasts,7,"10,188",9.229,5,NN|VB
snail,5,"10,191",9.229,4.93,NN
recipe,6,"10,197",9.23,4.43,NN
truck,5,"10,203",9.23,4.84,NN|VB
jacket,6,"10,208",9.231,4.86,NN
grab,4,"10,230",9.233,3.52,VB|NN
prayer,6,"10,237",9.234,3.28,NN
batch,5,"10,263",9.236,3.8,NN
loading,7,"10,269",9.237,3.74,NN|VB
spoken,6,"10,279",9.238,3.28,VB|NN|JJ
coat,4,"10,295",9.239,4.97,NN|VB
publish,7,"10,307",9.241,3.26,VB
skate,5,"10,328",9.243,4.56,VB|NN
sealed,6,"10,333",9.243,3.38,VB|JJ
senator,7,"10,341",9.244,4.59,NN
butt,4,"10,344",9.244,4.75,NN|VB
thrown,6,"10,415",9.251,4.33,VB
plate,5,"10,419",9.251,4.77,NN|VB
golf,4,"10,448",9.254,4.52,NN
icy,3,"10,457",9.255,4.22,JJ
actor,5,"10,471",9.256,4.57,NN
assault,7,"10,485",9.258,3.41,NN|VB
angle,5,"10,577",9.266,3.5,NN|VB
pump,4,"10,590",9.268,4.31,NN|VB
spare,5,"10,605",9.269,3.48,JJ|VB
locked,6,"10,624",9.271,4.43,VB
grown,5,"10,655",9.274,3.2,VB|JJ
chart,5,"10,661",9.274,4.48,NN|VB
grew,4,"10,672",9.275,3.52,VB
spin,4,"10,683",9.276,3.9,VB|NN
biology,7,"10,686",9.277,3.48,NN
bowl,4,"10,720",9.28,4.87,NN|VB
boots,5,"10,725",9.28,5,NN|VB
fruit,5,"10,728",9.281,4.81,NN
pearl,5,"10,738",9.282,4.87,NN
rent,4,"10,739",9.282,3.48,NN|VB
Roman,5,"10,744",9.282,3.33,NN|JJ
twenty,6,"10,756",9.283,3.67,minor|NN
pocket,6,"10,760",9.284,4.68,NN|VB
scanner,7,"10,761",9.284,4.79,NN
scope,5,"10,774",9.285,3.74,NN
ivory,5,"10,780",9.285,4.76,NN
uncle,5,"10,780",9.285,4.24,NN
clay,4,"10,797",9.287,4.93,NN
hanging,7,"10,808",9.288,4.03,VB|NN
arena,5,"10,812",9.288,4.83,NN
belt,4,"10,820",9.289,4.9,NN
linked,6,"10,830",9.29,3.36,VB
riding,6,"10,836",9.291,4.14,VB|NN
ghost,5,"10,849",9.292,3.19,NN
farm,4,"10,864",9.293,4.59,NN|VB
console,7,"10,876",9.294,3.86,VB
robot,5,"10,880",9.295,4.65,NN
bush,4,"10,889",9.296,4.9,NN
warrior,7,"10,894",9.296,4.17,NN
jam,3,"10,904",9.297,4.71,NN|VB
sue,3,"10,908",9.297,3.07,VB|NN
sing,4,"10,917",9.298,4.34,VB
contest,7,"10,921",9.298,3.52,NN
serving,7,"10,926",9.299,3.32,VB|NN
teeth,5,"10,942",9.3,4.96,NN
reset,5,"11,018",9.307,3,NN|VB
gender,6,"11,021",9.308,3.33,NN
rocket,6,"11,027",9.308,4.73,NN|VB
shock,5,"11,041",9.309,4,NN|VB
prince,6,"11,047",9.31,4.44,NN
ocean,5,"11,050",9.31,4.86,NN
trail,5,"11,055",9.311,4.46,NN|VB
ill,3,"11,082",9.313,3.21,JJ|RB|NN
lunch,5,"11,094",9.314,4.31,NN|VB
penis,5,"11,136",9.318,5,NN
Soviet,6,"11,144",9.319,3.15,JJ|NN
cop,3,"11,145",9.319,4.3,NN
cloth,5,"11,191",9.323,4.9,NN
tied,4,"11,216",9.325,3.92,VB
garden,6,"11,220",9.325,4.73,NN|VB
silicon,7,"11,228",9.326,4.68,NN|JJ
segment,7,"11,246",9.328,3.4,NN
fork,4,"11,253",9.328,4.9,NN
flesh,5,"11,266",9.33,4.59,NN
tail,4,"11,267",9.33,4.96,NN|VB
steal,5,"11,268",9.33,3.84,VB|NN
highway,7,"11,286",9.331,4.72,NN
chess,5,"11,301",9.333,4.7,NN
ear,3,"11,312",9.334,5,NN
rescue,6,"11,324",9.335,3.17,NN|VB
tall,4,"11,346",9.337,3.36,JJ|NN
pour,4,"11,348",9.337,4.14,VB
heavily,7,"11,363",9.338,3.15,RB
cod,3,"11,375",9.339,4.61,NN
sizes,5,"11,391",9.341,3.62,NN|VB
tap,3,"11,395",9.341,4.29,NN|VB
troll,5,"11,416",9.343,4.28,NN|VB
thick,5,"11,429",9.344,4,JJ|NN|RB
leather,7,"11,445",9.345,4.82,NN
mud,3,"11,445",9.345,4.86,NN
ugly,4,"11,466",9.347,3.23,JJ
chicken,7,"11,478",9.348,4.8,NN|VB
attend,6,"11,518",9.352,3.17,VB
profile,7,"11,524",9.352,3.1,NN|VB
batman,6,"11,544",9.354,4.5,NN
dozen,5,"11,561",9.355,4.66,NN
stream,6,"11,580",9.357,4.5,NN|VB
buttons,7,"11,597",9.359,4.8,NN|VB
hook,4,"11,610",9.36,4.79,NN|VB
castle,6,"11,629",9.361,4.96,NN
victim,6,"11,638",9.362,3.59,NN
rack,4,"11,655",9.363,4.48,NN|VB
quarter,7,"11,705",9.368,4.43,NN|VB
gift,4,"11,722",9.369,4.56,NN
charter,7,"11,723",9.369,3.15,NN|VB
formula,7,"11,727",9.37,4.11,NN
hat,3,"11,748",9.371,4.88,NN
ton,3,"11,753",9.372,4.17,NN
aliens,6,"11,773",9.374,3.86,NN
troops,6,"11,801",9.376,4.21,NN|VB
dad,3,"11,823",9.378,4.29,NN
hire,4,"11,829",9.378,3.11,VB|NN
tin,3,"11,849",9.38,4.87,NN|JJ
airport,7,"11,859",9.381,4.87,NN
winner,6,"11,890",9.383,3.21,NN
drag,4,"11,908",9.385,4.17,VB|NN
idiot,5,"11,911",9.385,3.32,JJ|NN
loud,4,"11,931",9.387,3.73,JJ|NN
voting,6,"11,949",9.388,3.29,NN|VB
slot,4,"11,956",9.389,4.45,NN|VB
folk,4,"11,992",9.392,3.57,NN
chat,4,"11,998",9.392,3.66,NN|VB
concert,7,"12,029",9.395,4.35,NN
duke,4,"12,035",9.396,4,NN
academy,7,"12,050",9.397,4.29,NN
height,6,"12,052",9.397,3.86,NN
brass,5,"12,055",9.397,4.7,NN
wake,4,"12,064",9.398,3.11,NN|VB
lawyer,6,"12,105",9.401,4.7,NN
Muslim,6,"12,182",9.408,3.41,NN|JJ
hockey,6,"12,193",9.409,4.31,NN
pipe,4,"12,205",9.41,4.88,NN|VB
mailed,6,"12,226",9.411,3.69,VB
novel,5,"12,250",9.413,4.21,NN
goods,5,"12,257",9.414,4.26,NN
tune,4,"12,260",9.414,3.5,NN|VB
symbol,6,"12,275",9.415,3.11,NN
smile,5,"12,276",9.415,4.5,NN|VB
violent,7,"12,285",9.416,3.1,JJ
jet,3,"12,298",9.417,4.77,NN
pal,3,"12,345",9.421,3.93,NN
ski,3,"12,347",9.421,4.63,NN|VB
raw,3,"12,360",9.422,3.35,JJ|NN
mask,4,"12,361",9.422,4.96,NN|VB
wizard,6,"12,369",9.423,4.43,NN
junk,4,"12,375",9.423,3.88,NN|VB
dress,5,"12,384",9.424,4.93,NN|VB
sphere,6,"12,407",9.426,4.44,NN|RB
vendor,6,"12,408",9.426,4.5,NN
diet,4,"12,432",9.428,3.21,NN|VB
